stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type
131802,Langer Kirschbaum,49.459075,8.751243,,0
130820,Köpfel,49.423225,8.74311,,0
118702,Römerkreis Süd,49.40476,8.68466,,0
118701,Römerkreis Süd,49.404414,8.684568,,0
117102,Königstuhl,49.402714,8.727775,,0
114101,Bergfriedhof,49.395654,8.68985,,0
144202,Abzw. Bärsbach,49.497947,8.772288,,0
559002,Schafweide,49.494477,8.479618,,0
559001,Schafweide,49.494829,8.479178,,0
299862,Letzter Heller,49.39377,8.800864,,0
82405,FT Altenheim,49.53595,8.36003,,0
241705,MA Hauptbahnhof,49.480317,8.469337,http://www.rnv-online.de/liniennetz/wichtige-umsteigepunkte.html,0
241706,MA Hauptbahnhof,49.480052,8.469989,http://www.rnv-online.de/liniennetz/wichtige-umsteigepunkte.html,0
241707,MA Hauptbahnhof,49.4803,8.4686,http://www.rnv-online.de/liniennetz/wichtige-umsteigepunkte.html,0
214101,Schillerschule,49.460292,8.427852,,0
214102,Schillerschule,49.459735,8.427606,,0
215451,Hans-Warsch-Platz,49.492531,8.376508,,0
215452,Hans-Warsch-Platz,49.492791,8.376098,,0
257306,Graudenzer Linie,49.539407,8.481054,,0
257305,Graudenzer Linie,49.539302,8.481119,,0
248405,Ausgasse,49.548109,8.438998,,0
603606,Pfingstberg Sportan.,49.449436,8.524526,,0
603605,Pfingstberg Sportan.,49.449159,8.524846,,0
132602,Schweizertalstr.,49.448227,8.753273,,0
132601,Schweizertalstr.,49.44836,8.75338,,0
120301,S-Bf Kirchh./Rohrb.,49.378775,8.675299,,0
120302,S-Bf Kirchh./Rohrb.,49.378778,8.675207,,0
121302,Mathilde-Vogt-Haus,49.381115,8.660681,,0
121301,Mathilde-Vogt-Haus,49.381141,8.660402,,0
210001,Rohrlachstraße,49.483105,8.429817,,0
130601,Waldorfschule HD,49.438355,8.633806,,0
210002,Rohrlachstraße,49.483231,8.42899,,0
210005,Rohrlachstraße,49.482556,8.429932,,0
233906,Einsteinstraße,49.519316,8.459744,,0
210007,Rohrlachstraße,49.483095,8.43091,,0
210006,Rohrlachstraße,49.48278,8.43028,,0
210008,Rohrlachstraße,49.48267,8.43188,,0
262706,Papyrus,49.533616,8.459549,,0
262705,Papyrus,49.533409,8.460137,,0
125802,Schützenstr.,49.399338,8.648039,,0
253202,Distelsand,49.427847,8.531716,,0
253201,Distelsand,49.428343,8.531419,,0
